#,,,,,,,,,"generated_by='OpenQuake engine 3.11.4', start_date='2022-05-08T14:37:27', checksum=3467869817, investigation_time=1.0, ses_per_logic_tree_path=10000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
101,1,5.550000E+00,1.816662E+01,-3.222158E+01,1.000000E+01,Stable Continental Crust,3.049897E+02,7.800047E+01,-1.200000E+00
102,1,5.150000E+00,1.875129E+01,-3.222158E+01,1.500000E+01,Stable Continental Crust,3.049934E+02,7.800307E+01,-1.200000E+00
103,1,5.150000E+00,1.795488E+01,-3.226655E+01,1.000000E+01,Stable Continental Crust,3.049915E+02,7.799939E+01,-1.200000E+00
104,1,5.250000E+00,1.949705E+01,-3.226655E+01,5.000000E+00,Stable Continental Crust,3.049964E+02,7.800018E+01,-1.200000E+00
105,1,5.350000E+00,1.949648E+01,-3.226723E+01,1.456289E+01,Stable Continental Crust,3.049865E+02,7.800159E+01,-1.200000E+00
106,1,5.050000E+00,1.726409E+01,-3.231152E+01,5.000000E+00,Stable Continental Crust,3.049897E+02,7.799905E+01,-1.200000E+00
107,1,5.350000E+00,1.726409E+01,-3.231152E+01,5.000000E+00,Stable Continental Crust,3.049888E+02,7.799685E+01,-1.200000E+00
108,1,5.350000E+00,1.806216E+01,-3.231152E+01,5.000000E+00,Stable Continental Crust,3.049888E+02,7.799789E+01,-1.200000E+00
109,1,5.750000E+00,1.747754E+01,-3.235648E+01,1.000000E+01,Stable Continental Crust,3.049813E+02,7.800122E+01,-1.200000E+00
110,1,5.150000E+00,1.859540E+01,-3.235648E+01,1.500000E+01,Stable Continental Crust,3.049909E+02,7.800368E+01,-1.200000E+00
111,1,6.350000E+00,1.875509E+01,-3.235648E+01,1.000000E+01,Stable Continental Crust,3.049717E+02,7.800068E+01,-1.200000E+00
112,1,5.250000E+00,1.896775E+01,-3.235679E+01,1.480278E+01,Stable Continental Crust,3.049871E+02,7.800056E+01,-1.200000E+00
113,1,6.250000E+00,1.928740E+01,-3.235648E+01,1.000000E+01,Stable Continental Crust,3.049726E+02,7.799972E+01,-1.200000E+00
114,1,5.050000E+00,1.721189E+01,-3.240145E+01,1.000000E+01,Stable Continental Crust,3.049929E+02,7.799863E+01,-1.200000E+00
115,1,7.250000E+00,1.742330E+01,-3.240340E+01,8.750000E+00,Stable Continental Crust,3.048282E+02,7.800059E+01,-1.200000E+00
116,1,5.050000E+00,1.833030E+01,-3.240145E+01,1.500000E+01,Stable Continental Crust,3.049914E+02,7.800005E+01,-1.200000E+00
117,1,5.050000E+00,1.838356E+01,-3.240145E+01,1.500000E+01,Stable Continental Crust,3.049914E+02,7.799863E+01,-1.200000E+00
118,1,5.250000E+00,1.891613E+01,-3.240145E+01,1.000000E+01,Stable Continental Crust,3.049887E+02,7.800130E+01,-1.200000E+00
119,1,5.150000E+00,1.721240E+01,-3.244641E+01,1.500000E+01,Stable Continental Crust,3.049939E+02,7.799811E+01,-1.200000E+00
120,1,5.450000E+00,1.779852E+01,-3.244641E+01,1.000000E+01,Stable Continental Crust,3.049879E+02,7.799766E+01,-1.200000E+00
121,1,5.350000E+00,1.913006E+01,-3.244710E+01,1.456289E+01,Stable Continental Crust,3.049843E+02,7.800197E+01,-1.200000E+00
122,1,5.350000E+00,1.950361E+01,-3.244641E+01,1.000000E+01,Stable Continental Crust,3.049852E+02,7.800091E+01,-1.200000E+00
123,1,5.450000E+00,1.977003E+01,-3.244641E+01,1.000000E+01,Stable Continental Crust,3.049888E+02,7.799766E+01,-1.200000E+00
124,1,5.450000E+00,1.779932E+01,-3.249138E+01,1.000000E+01,Stable Continental Crust,3.049944E+02,7.799771E+01,-1.200000E+00
125,1,5.250000E+00,1.790594E+01,-3.249138E+01,1.000000E+01,Stable Continental Crust,3.049945E+02,7.800055E+01,-1.200000E+00
126,1,5.050000E+00,1.795925E+01,-3.249138E+01,1.000000E+01,Stable Continental Crust,3.049933E+02,7.800441E+01,-1.200000E+00
127,1,5.250000E+00,1.822581E+01,-3.249138E+01,5.000000E+00,Stable Continental Crust,3.049945E+02,7.800055E+01,-1.200000E+00
128,1,5.750000E+00,1.827912E+01,-3.249138E+01,1.000000E+01,Stable Continental Crust,3.049822E+02,7.800081E+01,-1.200000E+00
129,1,5.850000E+00,1.838574E+01,-3.249138E+01,1.000000E+01,Stable Continental Crust,3.049821E+02,7.800014E+01,-1.200000E+00
130,1,5.350000E+00,1.854510E+01,-3.249207E+01,1.456289E+01,Stable Continental Crust,3.049869E+02,7.799975E+01,-1.200000E+00
131,1,5.150000E+00,1.870560E+01,-3.249138E+01,5.000000E+00,Stable Continental Crust,3.049930E+02,7.799875E+01,-1.200000E+00
132,1,5.050000E+00,1.918540E+01,-3.249138E+01,5.000000E+00,Stable Continental Crust,3.049948E+02,7.800442E+01,-1.200000E+00
133,1,6.650000E+00,1.763848E+01,-3.253830E+01,8.750000E+00,Stable Continental Crust,3.049545E+02,7.799998E+01,-1.200000E+00
134,1,5.850000E+00,1.865352E+01,-3.253635E+01,1.000000E+01,Stable Continental Crust,3.049834E+02,7.800021E+01,-1.200000E+00
135,1,5.050000E+00,1.950692E+01,-3.253635E+01,1.000000E+01,Stable Continental Crust,3.049928E+02,7.800492E+01,-1.200000E+00
136,1,5.150000E+00,1.961359E+01,-3.253635E+01,1.500000E+01,Stable Continental Crust,3.049922E+02,7.799940E+01,-1.200000E+00
137,1,6.950000E+00,1.929349E+01,-3.258327E+01,8.750000E+00,Stable Continental Crust,3.049095E+02,7.800013E+01,-1.200000E+00
138,1,5.350000E+00,1.780116E+01,-3.262696E+01,1.456289E+01,Stable Continental Crust,3.049926E+02,7.799789E+01,-1.200000E+00
